legacy,target,sha1
textures/blocks/alfheim_dream_leaves.png,textures/block/alfheim_dream_leaves.png,8ec9cad86849b91b425b169e5535d0f9e1bca3e1
textures/blocks/alfheim_elven_sand.png,textures/block/alfheim_elven_sand.png,2097cdb73c3606d2eb97a5e7ed9ce4f7a4387bf1
textures/blocks/eldritch_eye_closed.png,textures/block/eldritch_eye_closed.png,4d2c0371df9ec6e2e5a0e01820687558546383ee
textures/blocks/eldritch_eye_open.png,textures/block/eldritch_eye_open.png,c7330a45deda1531123cef614d12e2b2fa2b713f
textures/blocks/flesh_block.png,textures/block/flesh_block.png,ed7872802f996ce3b7372ec0bce35fed9b195c23
textures/blocks/flesh_flower.png,textures/block/flesh_flower.png,ea9fafeeebd8d2d06c76d89c8c5b842916335fdc
textures/blocks/flesh_flower_dead.png,textures/block/flesh_flower_dead.png,c623da77f57ba5140b43466ace9ba6560c3163b3
textures/blocks/flesh_heart.png,textures/block/flesh_heart.png,6923f953c43f824e30569084469202aba3509681
textures/blocks/flesh_leaves.png,textures/block/flesh_leaves.png,b1c491c5aacd3ced315031fa0c495c3d7a8e29e6
textures/blocks/flesh_plant.png,textures/block/flesh_plant.png,c22aedf5fe7c6bb1e8d9bc57f2c793a95cdf4c3a
textures/blocks/flesh_sapling.png,textures/block/flesh_sapling.png,a00142e7965edf0867dad6eb0a149c054c3a5197
textures/blocks/heart_fruit_stage0.png,textures/block/heart_fruit_stage0.png,e0fe4bf7864a4570d6f26ce0eafe1fed6588305e
textures/blocks/heart_fruit_stage1.png,textures/block/heart_fruit_stage1.png,44a0d2a530b393526a089f3f84dc34d28cbcbe35
textures/blocks/heart_fruit_stage2.png,textures/block/heart_fruit_stage2.png,4d0e8bf448a76ebce8c4768202cbdfe3db774f7c
textures/blocks/heart_fruit_stage3.png,textures/block/heart_fruit_stage3.png,de7c276caf9403829901bfb16d1d7b48fb47825a
textures/blocks/portal_barrier.png,textures/block/portal_barrier.png,9f0570547906bed59ad74c73a3f2cde6f916c5b7
textures/blocks/portal_barrier.png.mcmeta,textures/block/portal_barrier.png.mcmeta,09178eab21572d32587369a1af635eebe1a53e24
textures/blocks/starstream/constellation_anchor.png,textures/block/starstream/constellation_anchor.png,26c4dd565865e23b5cfba216e141107fdfaf6a41
textures/blocks/starstream/obelisk_core.png,textures/block/starstream/obelisk_core.png,d70503509e1fb7276d0c6f3e8a6a20e1b99fcbd0
textures/blocks/starstream/starstream_casing.png,textures/block/starstream/starstream_casing.png,01bd948f1c434be60d37205df9850509cd02b88f
textures/blocks/starstream/starstream_runed_casing.png,textures/block/starstream/starstream_runed_casing.png,381c92adb4b081b25e1d453719e14b5a9af048e9
textures/blocks/tentacle_mid.png,textures/block/tentacle_mid.png,d80efef8e97b406d2a196ebb2b1a2b9ce73fd12f
textures/blocks/tentacle_thick.png,textures/block/tentacle_thick.png,f1ea77869cca3ddac63c461f6a794cbf82ddb19c
textures/blocks/tentacle_thin.png,textures/block/tentacle_thin.png,0654a48b42eff2216e247641db141955eb7c1f54
textures/blocks/test_block.json,textures/block/test_block.json,8b876c0d208f76dba65509145169881f10ca0ee7
textures/blocks/test_block.png,textures/block/test_block.png,f3e2f1d7ecd8dbccfc499852544f4c17969cfef1
textures/entity/basalz.png,textures/entity/basalz.png,099dfb85471ea252759a3eeab138686c4086c61e
textures/entity/basalz_xmas.png,textures/entity/basalz_xmas.png,c4b52fa8009f757d5951f8420b638489232be306
textures/entity/blitz.png,textures/entity/blitz.png,866ac3c0f59582ff2502f52fed04b46805a71c50
textures/entity/blitz_xmas.png,textures/entity/blitz_xmas.png,988cb3364b41accb9b3b73a40a7a8fdfa506daa0
textures/entity/blizz.png,textures/entity/blizz.png,8c3faac549400d7c48ff1d42ea200a4f8f90ca37
textures/entity/blizz_xmas.png,textures/entity/blizz_xmas.png,cc2d14947cd9f0ae6a06b2c324a4a629ab0129e6
textures/entity/slime/slime_aer.png,textures/entity/slime/slime_aer.png,f0b497e0d221176198caa9d2ea779c0690297ec9
textures/entity/slime/slime_aqua.png,textures/entity/slime/slime_aqua.png,1c52e38d12ca3d1904c2dd2b06112e70d24c6dec
textures/entity/slime/slime_ignis.png,textures/entity/slime/slime_ignis.png,4fbac146bf3a154401332f03de6f9b0d349bc280
textures/entity/slime/slime_ordo.png,textures/entity/slime/slime_ordo.png,89bfc9677a41559c2bac7ee80db5f05c94a8c02e
textures/entity/slime/slime_perditio.png,textures/entity/slime/slime_perditio.png,2962087cfae7bcc5417039d12a79a4c0d408b522
textures/entity/slime/slime_terra.png,textures/entity/slime/slime_terra.png,dddd3ec6a2694880e6159f1b91d300bb8734b6bb
textures/entity/slime/slimebase.png,textures/entity/slime/slimebase.png,8b673dc2f1de72f54f12c0683c732566730473f1
textures/items/heart_fruit.png,textures/item/heart_fruit.png,16e4668d91ca913b5cadd1bbe8fa8f54e7256c59
textures/items/magic_circle.png,textures/item/magic_circle.png,005e523828a3edd5d69e8ad2d9aacf652ae7a6ab
textures/items/metaitems/battery.ev.magic/1.png,textures/item/metaitems/battery.ev.magic/1.png,54ee17beb8c97e9e2e9a0bba9161044641890950
