3,-3,-6,Y
-4,-3,-5,Y
6,-3,-1,Y
-6,-3,2,Y
-3,-3,6,Y
4,-3,6,Y
3,-2,-6,Y
-4,-2,-5,Y
6,-2,-1,Y
-6,-2,2,Y
-3,-2,6,Y
4,-2,6,Y
3,-1,-6,Z
-4,-1,-5,Z
3,-1,-5,Z
-3,-1,-4,Z
2,-1,-4,Y
-3,-1,-3,Y
5,-1,-1,Y
6,-1,-1,X
-5,-1,1,X
-4,-1,1,Y
-6,-1,2,X
-2,-1,4,Y
3,-1,4,Y
-3,-1,5,Z
3,-1,5,Z
-3,-1,6,Z
4,-1,6,Z
2,0,-4,Z
-3,0,-3,Z
2,0,-3,Z
-2,0,-2,Z
1,0,-2,Z
-2,0,-1,Z
0,0,-1,Y
1,0,-1,Y
5,0,-1,X
-3,0,0,X
-1,0,0,Y
0,0,0,Y
1,0,0,Y
3,0,0,X
4,0,0,X
-4,0,1,X
0,0,1,Y
-1,0,2,Z
2,0,2,Z
-1,0,3,Z
2,0,3,Z
-2,0,4,Z
3,0,4,Z
-1,1,-1,X
0,1,-1,Y
-2,1,0,X
-1,1,0,Y
0,1,0,Y
1,1,0,Y
2,1,0,X
-1,1,1,Z
0,1,1,Y
1,1,1,X
6,2,-3,L
2,2,-2,L
0,2,0,Y
3,2,3,L
5,2,3,L
-3,3,-7,L
2,3,-7,L
3,3,-5,L
1,3,-4,L
-5,3,-3,L
6,3,-3,L
-7,3,-2,L
-2,3,-2,L
2,3,-2,L
5,3,-1,L
-5,3,0,L
0,3,0,Y
7,3,2,L
0,3,3,L
3,3,3,L
5,3,3,L
-7,3,4,L
-4,3,4,L
-3,3,6,L
1,3,6,L
3,3,7,L
-2,3,8,L
-3,4,-7,L
2,4,-7,L
-4,4,-5,L
3,4,-5,L
1,4,-4,L
-5,4,-3,L
6,4,-3,L
-7,4,-2,L
-2,4,-2,L
2,4,-2,L
5,4,-1,L
-5,4,0,L
-3,4,0,L
0,4,0,Y
4,4,1,L
-6,4,2,L
7,4,2,L
0,4,3,L
3,4,3,L
5,4,3,L
-7,4,4,L
-4,4,4,L
4,4,5,L
-3,4,6,L
-1,4,6,L
1,4,6,L
3,4,7,L
-2,4,8,L
-3,5,-7,L
2,5,-7,L
-4,5,-5,L
-1,5,-5,L
3,5,-5,L
1,5,-4,L
4,5,-4,L
-5,5,-3,L
6,5,-3,L
-7,5,-2,L
-2,5,-2,L
2,5,-2,L
5,5,-1,L
-5,5,0,L
-3,5,0,L
0,5,0,Y
2,5,0,L
4,5,1,L
-6,5,2,L
7,5,2,L
0,5,3,L
3,5,3,L
5,5,3,L
-7,5,4,L
-4,5,4,L
-6,5,5,L
4,5,5,L
-3,5,6,L
-1,5,6,L
1,5,6,L
3,5,7,L
-2,5,8,L
-3,6,-7,L
2,6,-7,L
-4,6,-5,L
-1,6,-5,L
3,6,-5,L
1,6,-4,L
4,6,-4,L
-5,6,-3,L
6,6,-3,L
-7,6,-2,L
-2,6,-2,L
2,6,-2,L
5,6,-1,L
-5,6,0,L
-3,6,0,L
0,6,0,Y
2,6,0,L
4,6,1,L
-6,6,2,L
7,6,2,L
0,6,3,L
3,6,3,L
5,6,3,L
-7,6,4,L
-4,6,4,L
-6,6,5,L
4,6,5,L
-3,6,6,L
-1,6,6,L
1,6,6,L
3,6,7,L
-2,6,8,L
-3,7,-7,L
2,7,-7,L
-4,7,-5,L
-1,7,-5,L
3,7,-5,L
1,7,-4,L
4,7,-4,L
-5,7,-3,L
6,7,-3,L
-7,7,-2,L
-2,7,-2,L
2,7,-2,L
5,7,-1,L
-5,7,0,L
-3,7,0,L
0,7,0,Y
2,7,0,L
4,7,1,L
-6,7,2,L
7,7,2,L
0,7,3,L
3,7,3,L
5,7,3,L
-7,7,4,L
-4,7,4,L
-6,7,5,L
4,7,5,L
-3,7,6,L
-1,7,6,L
1,7,6,L
3,7,7,L
-2,7,8,L
-3,8,-7,L
2,8,-7,L
-4,8,-5,L
-1,8,-5,L
3,8,-5,L
1,8,-4,L
4,8,-4,L
-5,8,-3,L
6,8,-3,L
-7,8,-2,L
-2,8,-2,L
-1,8,-2,Z
0,8,-2,L
2,8,-2,L
-2,8,-1,L
-1,8,-1,L
0,8,-1,Z
1,8,-1,L
5,8,-1,L
-5,8,0,L
-3,8,0,L
-2,8,0,X
-1,8,0,X
0,8,0,Y
1,8,0,X
2,8,0,L
-2,8,1,L
-1,8,1,L
0,8,1,Z
1,8,1,L
4,8,1,L
-6,8,2,L
-2,8,2,L
-1,8,2,L
0,8,2,Z
1,8,2,L
7,8,2,L
-1,8,3,L
0,8,3,L
3,8,3,L
5,8,3,L
-7,8,4,L
-4,8,4,L
-6,8,5,L
4,8,5,L
-3,8,6,L
-1,8,6,L
1,8,6,L
3,8,7,L
-2,8,8,L
-3,9,-7,L
2,9,-7,L
-4,9,-5,L
-2,9,-5,L
-1,9,-5,L
2,9,-5,L
3,9,-5,L
-3,9,-4,L
-2,9,-4,Z
-1,9,-4,L
1,9,-4,L
2,9,-4,Z
3,9,-4,L
4,9,-4,L
5,9,-4,L
-5,9,-3,L
-3,9,-3,L
-2,9,-3,Z
-1,9,-3,L
0,9,-3,L
2,9,-3,L
3,9,-3,L
4,9,-3,L
5,9,-3,X
6,9,-3,L
-7,9,-2,L
-3,9,-2,L
-2,9,-2,L
-1,9,-2,L
0,9,-2,L
1,9,-2,L
2,9,-2,L
3,9,-2,X
4,9,-2,X
5,9,-2,L
-4,9,-1,L
-3,9,-1,X
-2,9,-1,L
-1,9,-1,L
0,9,-1,L
1,9,-1,X
2,9,-1,X
3,9,-1,L
4,9,-1,L
5,9,-1,L
-5,9,0,L
-3,9,0,L
-2,9,0,Y
-1,9,0,L
0,9,0,L
1,9,0,L
2,9,0,L
3,9,0,L
-4,9,1,L
-3,9,1,Z
-2,9,1,L
-1,9,1,L
0,9,1,L
1,9,1,Z
2,9,1,X
3,9,1,X
4,9,1,L
5,9,1,L
6,9,1,L
-6,9,2,L
-5,9,2,L
-4,9,2,Z
-3,9,2,L
-2,9,2,L
-1,9,2,L
0,9,2,L
1,9,2,L
2,9,2,L
3,9,2,Z
4,9,2,X
5,9,2,X
6,9,2,X
7,9,2,L
-5,9,3,L
-4,9,3,Z
-3,9,3,L
-2,9,3,L
-1,9,3,Z
0,9,3,L
3,9,3,L
4,9,3,L
5,9,3,L
6,9,3,L
-7,9,4,L
-4,9,4,L
-2,9,4,L
-1,9,4,Z
0,9,4,L
-6,9,5,L
-1,9,5,L
4,9,5,L
-3,9,6,L
-1,9,6,L
1,9,6,L
3,9,7,L
-2,9,8,L
-3,10,-7,L
2,10,-7,L
-4,10,-6,L
-3,10,-6,Z
-2,10,-6,L
1,10,-6,L
2,10,-6,Z
3,10,-6,L
-4,10,-5,L
-3,10,-5,Z
-2,10,-5,X
-1,10,-5,L
